FLOWRATE,Aromatic Yield
1013.84,0.7104194705283587
1067.2,0.709564726212855
1120.56,0.7086426786807845
1173.92,0.707664251115905
1227.28,0.7066305865262481
1280.64,0.7054808570365309
1334.0,0.7043654774883765
1387.36,0.7031703409181572
1440.72,0.7020238417443715
1494.08,0.7008289888376766
1547.44,0.699616210379914
1600.8,0.698387625876359
586.96,0.7131987686592773
640.32,0.7134091177720407
693.68,0.7134175675711076
747.04,0.7132088122706975
800.4,0.7128706387580069
853.76,0.7123939572362609
907.12,0.7118031346707365
960.48,0.7111996516005797
