Stream_ID,Mass_flow_rate_mole/hr
10,EB,6285.25102
10,OX,6320.51121
10,MX,11143.6684
10,PX,5697.07658
10,TOL,18076.4315
10,C8N,48.1722239
10,MEBZ,939.181886
10,TMBZ,21655.9315
10,C8P,668.040511
10,HYDROGEN,2.48074626
10,METHANE,4.00461447
10,BENZENE,4367.388
10,C2,33.4854663
10,C3,185.613522
10,C4,609.032889
10,C5,1248.22875
10,C6N,33.3247952
10,NC7,435.078069
10,C9S,60.0974212
10,PDEB,0.0
10,N-BUT-01,0.0
10,C9P,1.04962661
10,C9N,0.269787769
10,TETRAMBZ,12581.5017
10,C11,0.0
10,C5-,0.0
10,NC6,1058.177
10,IC6,1999.62124
10,C6-,0.0
10,C6-5,948.377165
10,IC7,241.89908
10,C7-,0.0
10,C7N,67.1537284
10,C7-5,38.5559069
10,IC8,274.991728
10,C8-5,31.6019068
10,IC9,24.6022989
10,C9-5,23.9359676
10,C10P,0.0847400806
10,C11P,0.405364707
10,C11A,1769.01202
10,C10N,0.00108973806
14,EB,217.606082
14,OX,156.302371
14,MX,330.20668
14,PX,175.948411
14,TOL,1686.34036
14,C8N,2.70756224
14,MEBZ,10.3523174
14,TMBZ,135.86996
14,C8P,45.6018674
14,HYDROGEN,4921.73496
14,METHANE,1192.29769
14,BENZENE,1319.25996
14,C2,1693.88308
14,C3,2943.00069
14,C4,2810.84157
14,C5,1917.52396
14,C6N,9.4477701
14,NC7,82.0372597
14,C9S,0.307023993
14,PDEB,0.0
14,N-BUT-01,0.0
14,C9P,0.0271097094
14,C9N,0.0082556208
14,TETRAMBZ,20.9806911
14,C11,0.0
14,C5-,0.0
14,NC6,557.729764
14,IC6,1449.39202
14,C6-,0.0
14,C6-5,375.14821
14,IC7,65.296856
14,C7-,0.0
14,C7N,9.96710025
14,C7-5,5.04398072
14,IC8,27.2568389
14,C8-5,1.48219986
14,IC9,2.45481315
14,C9-5,0.419828342
14,C10P,0.000817397336
14,C11P,0.00159788296
14,C11A,0.814097909
14,C10N,8.44877544e-06
