Split_fraction,mass_hydrogen,mass_all_flow,ratio
0.1,44441.5879,119042.806,0.37332443171744456
0.2,19881.9772,119042.806,0.1670153608442328
0.30000000000000004,11558.5484,119042.806,0.09709573210161057
0.4,7402.97591,119042.806,0.06218751186022951
0.5,4922.36117,119042.806,0.04134950557197047
0.6000000000000001,3277.38768,119042.806,0.0275311695861739
0.7000000000000001,2106.78376,119042.806,0.017697699094895325
0.8,1230.37047,119042.806,0.01033552980933598
0.9,548.251074,119042.806,0.004605495219929544
